"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-06","78",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-07","77","85","73"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-08","71","84",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-09","71",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-10","71",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-11","71","75",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-12","71",,"65"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-13","72",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-14","76",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-15","80",,"74"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-16","75","87",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-17","71",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-18","72",,"69"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-19","73",,"68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-20","73",,"68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-21","73",,"66"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-22","74",,"68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-23","75",,"69"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-24","75","82","69"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-25","73",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-26","75",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-27","75","86","68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-28","74","83","69"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-29","75",,"67"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-04-30","77",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-01","75","91",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-02","75","85",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-03","71","82",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-04","70",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-05","72",,"63"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-06","75",,"68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-07","69","85","66"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-08","68",,"62"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-09","67",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-10","69",,"60"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-11","70",,"58"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-12","71",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-13","72",,"62"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-14","74","86",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-15","68","82","66"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-16","70",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-17","72",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-18","74","79",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-19","72","80",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-20","71","79","64"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-21","71",,"62"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-22","74",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-23","78",,"68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-24","74","90",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-25","69",,"65"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-26","68",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-27","67","77",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-28","68","77",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-29","66",,"59"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-30","68",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-05-31","70",,
